Student_ID,Name,Department,Date,Time,Status
101,Arun Kumar,AI&DS,2026-08-03,09:04,Present
102,Bharath Raj,AI&DS,2026-08-03,09:02,Present
103,Charan M,AI&DS,2026-08-03,09:04,Present
104,Dinesh R,AI&DS,2026-08-03,09:07,Present
105,Gokul S,AI&DS,2026-08-03,09:02,Present
107,Karthik V,AI&DS,2026-08-03,09:10,Late
108,Lokesh K,AI&DS,2026-08-03,09:07,Present
109,Manoj T,AI&DS,2026-08-03,09:05,Present
110,Naveen P,AI&DS,2026-08-03,09:01,Present
111,Praveen Kumar,AI&DS,2026-08-03,09:04,Present
112,Rahul S,AI&DS,2026-08-03,09:01,Present
113,Sanjay R,AI&DS,2026-08-03,09:01,Present
114,Surya P,AI&DS,2026-08-03,09:03,Present
115,Vignesh M,AI&DS,2026-08-03,09:00,Present
116,Ajay B,CSE,2026-08-03,09:00,Present
117,Deepak K,CSE,2026-08-03,09:01,Present
118,Kavin R,CSE,2026-08-03,09:00,Present
119,Mohan S,CSE,2026-08-03,09:13,Late
120,Rohit V,CSE,2026-08-03,09:03,Present
101,Arun Kumar,AI&DS,2026-08-04,09:00,Present
102,Bharath Raj,AI&DS,2026-08-04,09:00,Present
103,Charan M,AI&DS,2026-08-04,,Absent
104,Dinesh R,AI&DS,2026-08-04,09:07,Present
105,Gokul S,AI&DS,2026-08-04,09:02,Present
106,Hari Prasad,AI&DS,2026-08-04,09:03,Present
107,Karthik V,AI&DS,2026-08-04,09:27,Late
108,Lokesh K,AI&DS,2026-08-04,09:00,Present
109,Manoj T,AI&DS,2026-08-04,09:01,Present
110,Naveen P,AI&DS,2026-08-04,09:03,Present
111,Praveen Kumar,AI&DS,2026-08-04,09:00,Present
112,Rahul S,AI&DS,2026-08-04,,Present
113,Sanjay R,AI&DS,2026-08-04,09:04,Present
114,Surya P,AI&DS,2026-08-04,09:01,Present
115,Vignesh M,AI&DS,2026-08-04,09:02,Present
116,Ajay B,CSE,2026-08-04,09:19,Late
117,Deepak K,CSE,2026-08-04,09:01,Present
118,Kavin R,CSE,2026-08-04,09:08,Present
119,Mohan S,CSE,2026-08-04,09:02,Present
120,Rohit V,CSE,2026-08-04,09:00,Present
101,Arun Kumar,AI&DS,2026-08-05,09:05,Present
102,Bharath Raj,AI&DS,2026-08-05,09:00,Present
103,Charan M,AI&DS,2026-08-05,09:03,Present
104,Dinesh R,AI&DS,2026-08-05,09:00,Present
105,Gokul S,AI&DS,2026-08-05,09:00,Present
106,Hari Prasad,AI&DS,2026-08-05,09:03,Present
107,Karthik V,AI&DS,2026-08-05,09:05,Present
109,Manoj T,AI&DS,2026-08-05,09:02,Present
110,Naveen P,AI&DS,2026-08-05,09:02,Present
111,Praveen Kumar,AI&DS,2026-08-05,,Absent
112,Rahul S,AI&DS,2026-08-05,09:00,Present
113,Sanjay R,AI&DS,2026-08-05,09:00,Present
114,Surya P,AI&DS,2026-08-05,09:01,Present
115,Vignesh M,AI&DS,2026-08-05,09:06,Present
116,Ajay B,CSE,2026-08-05,09:04,Present
117,Deepak K,CSE,2026-08-05,09:00,Present
118,Kavin R,CSE,2026-08-05,,Absent
119,Mohan S,CSE,2026-08-05,09:03,Present
120,Rohit V,CSE,2026-08-05,09:01,Present
101,Arun Kumar,AI&DS,2026-08-06,09:00,Present
102,Bharath Raj,AI&DS,2026-08-06,09:09,Late
103,Charan M,AI&DS,2026-08-06,09:04,Present
104,Dinesh R,AI&DS,2026-08-06,09:06,Present
105,Gokul S,AI&DS,2026-08-06,09:05,Present
106,Hari Prasad,AI&DS,2026-08-06,09:00,Present
107,Karthik V,AI&DS,2026-08-06,09:02,Present
108,Lokesh K,AI&DS,2026-08-06,,Absent
109,Manoj T,AI&DS,2026-08-06,09:07,Late
110,Naveen P,AI&DS,2026-08-06,09:03,Present
111,Praveen Kumar,AI&DS,2026-08-06,09:05,Present
112,Rahul S,AI&DS,2026-08-06,09:28,Late
113,Sanjay R,AI&DS,2026-08-06,09:01,Present
114,Surya P,AI&DS,2026-08-06,09:02,Present
115,Vignesh M,AI&DS,2026-08-06,09:00,Present
116,Ajay B,CSE,2026-08-06,09:00,Present
117,Deepak K,CSE,2026-08-06,09:05,Present
118,Kavin R,CSE,2026-08-06,09:07,Present
119,Mohan S,CSE,2026-08-06,09:20,Late
120,Rohit V,CSE,2026-08-06,09:02,Present
101,Arun Kumar,AI&DS,2026-08-07,,Absent
102,Bharath Raj,AI&DS,2026-08-07,09:06,Present
103,Charan M,AI&DS,2026-08-07,09:04,Present
104,Dinesh R,AI&DS,2026-08-07,09:01,Present
105,Gokul S,AI&DS,2026-08-07,09:12,Late
106,Hari Prasad,AI&DS,2026-08-07,09:04,Present
107,Karthik V,AI&DS,2026-08-07,09:07,Present
108,Lokesh K,AI&DS,2026-08-07,09:02,Present
109,Manoj T,AI&DS,2026-08-07,09:07,Present
110,Naveen P,AI&DS,2026-08-07,09:00,Present
111,Praveen Kumar,AI&DS,2026-08-07,,Absent
112,Rahul S,AI&DS,2026-08-07,09:05,Present
113,Sanjay R,AI&DS,2026-08-07,,Absent
114,Surya P,AI&DS,2026-08-07,09:08,Late
115,Vignesh M,AI&DS,2026-08-07,09:03,Present
116,Ajay B,AI&DS,2026-08-07,09:02,Present
117,Deepak K,CSE,2026-08-07,09:16,Late
118,Kavin R,CSE,2026-08-07,09:03,Present
119,Mohan S,CSE,2026-08-07,09:00,Present
120,Rohit V,CSE,2026-08-07,09:02,Present
101,Arun Kumar,AI&DS,2026-08-10,09:04,Present
102,Bharath Raj,AI&DS,2026-08-10,09:07,Present
103,Charan M,AI&DS,2026-08-10,09:01,Present
104,Dinesh R,AI&DS,2026-08-10,09:00,Present
105,Gokul S,AI&DS,2026-08-10,,Absent
106,Hari Prasad,AI&DS,2026-08-10,09:01,Present
107,Karthik V,AI&DS,2026-08-10,09:05,Present
108,Lokesh K,AI&DS,2026-08-10,09:03,Present
109,Manoj T,AI&DS,2026-08-10,09:01,Present
110,Naveen P,AI&DS,2026-08-10,09:24,Late
111,Praveen Kumar,AI&DS,2026-08-10,09:04,Present
112,Rahul S,AI&DS,2026-08-10,09:03,Present
113,Sanjay R,AI&DS,2026-08-10,09:05,Present
114,Surya P,AI&DS,2026-08-10,09:00,Present
115,Vignesh M,AI&DS,2026-08-10,09:02,Present
116,Ajay B,CSE,2026-08-10,09:01,Present
117,Deepak K,CSE,2026-08-10,09:00,Present
118,Kavin R,CSE,2026-08-10,09:03,Present
119,Mohan S,CSE,2026-08-10,09:03,Present
120,Rohit V,CSE,2026-08-10,,Absent
101,Arun Kumar,AI&DS,2026-08-11,09:17,Present
102,Bharath Raj,AI&DS,2026-08-11,09:03,Present
103,Charan M,AI&DS,2026-08-11,09:02,Present
104,Dinesh R,AI&DS,2026-08-11,09:00,Present
105,Gokul S,AI&DS,2026-08-11,09:01,Present
106,Hari Prasad,AI&DS,2026-08-11,09:01,Present
107,Karthik V,AI&DS,2026-08-11,09:25,Late
108,Lokesh K,AI&DS,2026-08-11,09:00,Present
109,Manoj T,AI&DS,2026-08-11,09:02,Present
110,Naveen P,AI&DS,2026-08-11,09:04,Present
111,Praveen Kumar,AI&DS,2026-08-11,09:08,Present
112,Rahul S,AI&DS,2026-08-11,09:03,Present
113,Sanjay R,AI&DS,2026-08-11,09:21,Late
114,Surya P,AI&DS,2026-08-11,,Absent
115,Vignesh M,AI&DS,2026-08-11,,Absent
116,Ajay B,CSE,2026-08-11,09:03,Present
117,Deepak K,CSE,2026-08-11,09:02,Present
118,Kavin R,CSE,2026-08-11,09:00,Present
119,Mohan S,CSE,2026-08-11,09:02,Present
120,Rohit V,CSE,2026-08-11,09:03,Present
101,Arun Kumar,AI&DS,2026-08-12,09:10,Present
102,Bharath Raj,AI&DS,2026-08-12,09:22,Late
103,Charan M,AI&DS,2026-08-12,09:02,Present
104,Dinesh R,AI&DS,2026-08-12,09:03,Present
105,Gokul S,AI&DS,2026-08-12,09:02,Present
106,Kavin R,AI&DS,2026-08-12,09:00,Present
107,Karthik V,AI&DS,2026-08-12,09:06,Present
108,Lokesh K,AI&DS,2026-08-12,09:05,Present
109,Manoj T,AI&DS,2026-08-12,09:05,Present
110,Naveen P,AI&DS,2026-08-12,09:00,Present
111,Praveen Kumar,AI&DS,2026-08-12,09:07,Present
112,Rahul S,AI&DS,2026-08-12,,Absent
113,Sanjay R,AI&DS,2026-08-12,09:10,Late
114,Surya P,AI&DS,2026-08-12,09:00,Present
115,Vignesh M,AI&DS,2026-08-12,09:04,Present
116,Ajay B,CSE,2026-08-12,09:09,Present
117,Deepak K,CSE,2026-08-12,09:00,Present
118,Kavin R,CSE,2026-08-12,09:01,Present
119,Mohan S,CSE,2026-08-12,09:26,Late
120,Rohit V,CSE,2026-08-12,09:03,Present
101,Arun Kumar,AI&DS,2026-08-13,09:01,Present
