Student_ID,Name,Department,Date,Time,Status
101,Arun Kumar,AI&DS,03-08-2026,09:04,Present
102,Bharath Raj,AI&DS,03-08-2026,09:02,Present
103,Charan M,AI&DS,03-08-2026,09:04,Present
104,Dinesh R,AI&DS,03-08-2026,09:07,Present
105,Gokul S,AI&DS,03-08-2026,09:02,Present
106,,AI&DS,03-08-2026,09:02,Present
107,Karthik V,AI&DS,03-08-2026,09:10,Late
108,Lokesh K,AI&DS,03-08-2026,09:07,Present
109,Manoj T,AI&DS,03-08-2026,09:05,Present
110,Naveen P,AI&DS,03-08-2026,09:01,Present
111,Praveen Kumar,AI&DS,03-08-2026,09:04,Present
112,Rahul S,AI&DS,03-08-2026,09:01,Present
113,Sanjay R,AI&DS,03-08-2026,09:01,Present
114,Surya P,AI&DS,03-08-2026,09:03,Present
115,Vignesh M,AI&DS,03-08-2026,09:00,Present
116,Ajay B,CSE,03-08-2026,09:00,Present
117,Deepak K,CSE,03-08-2026,09:01,Present
118,Kavin R,CSE,03-08-2026,09:00,Present
119,Mohan S,CSE,03-08-2026,09:13,Late
120,Rohit V,CSE,03-08-2026,09:03,Present
101,Arun Kumar,AI&DS,04-08-2026,09:00,Present
102,Bharath Raj,AI&DS,04-08-2026,09:00,Present
103,Charan M,AI&DS,04-08-2026,,Absent
104,Dinesh R,AI&DS,04-08-2026,09:07,Present
105,Gokul S,AI&DS,04-08-2026,09:02,Present
106,Hari Prasad,AI&DS,04-08-2026,09:03,Present
107,Karthik V,AI&DS,04-08-2026,09:27,Late
108,Lokesh K,AI&DS,04-08-2026,09:00,Present
109,Manoj T,AI&DS,04-08-2026,09:01,Present
110,Naveen P,AI&DS,04-08-2026,09:03,Present
111,Praveen Kumar,AI&DS,04-08-2026,09:00,Present
112,Rahul S,AI&DS,04-08-2026,,present
113,Sanjay R,AI&DS,04-08-2026,09:04,Present
114,Surya P,AI&DS,04-08-2026,09:01,Present
115,Vignesh M,AI&DS,04-08-2026,09:02,Present
116,Ajay B,CSE,04-08-2026,09:19,Late
117,Deepak K,CSE,04-08-2026,09:01,Present
118,Kavin R,CSE,04-08-2026,09:08,Present
119,Mohan S,CSE,04-08-2026,09:02,Present
120,Rohit V,CSE,04-08-2026,09:00,Present
101,Arun Kumar,AI&DS,05-08-2026,09:05,Present
102,Bharath Raj,AI&DS,05-08-2026,09:00,Present
103,Charan M,AI&DS,05-08-2026,09:03,Present
104,Dinesh R,AI&DS,05-08-2026,09:00,Present
105,Gokul S,AI&DS,05-08-2026,09:00,Present
106,Hari Prasad,AI&DS,05-08-2026,09:03,Present
107,Karthik V,AI&DS,05-08-2026,09:05,Present
108,Lokesh K,AI&DS,03/08/2026,09:03,Present
109,Manoj T,AI&DS,05-08-2026,09:02,Present
110,Naveen P,AI&DS,05-08-2026,09:02,Present
111,Praveen Kumar,AI&DS,05-08-2026,,Absent
112,Rahul S,AI&DS,05-08-2026,09:00,Present
113,Sanjay R,AI&DS,05-08-2026,09:00,Present
114,Surya P,AI&DS,05-08-2026,09:01,Present
115,Vignesh M,AI&DS,05-08-2026,09:06,Present
116,Ajay B,CSE,05-08-2026,09:04,Present
117,Deepak K,CSE,05-08-2026,09:00,Present
118,Kavin R,CSE,05-08-2026,,Absent
119,Mohan S,CSE,05-08-2026,09:03,Present
120,Rohit V,CSE,05-08-2026,09:01,Present
101,Arun Kumar,AI&DS,06-08-2026,09:00,Present
102,Bharath Raj,AI&DS,06-08-2026,09:09,Late
103,Charan M,AI&DS,06-08-2026,09:04,Present
104,Dinesh R,AI&DS,06-08-2026,09:06,Present
105,Gokul S,AI&DS,06-08-2026,09:05,Present
106,Hari Prasad,AI&DS,06-08-2026,09:00,Present
107,Karthik V,AI&DS,06-08-2026,09:02,Present
108,Lokesh K,AI&DS,06-08-2026,,Absent
109,Manoj T,AI&DS,06-08-2026,9:7,Late
110,Naveen P,AI&DS,06-08-2026,09:03,Present
111,Praveen Kumar,AI&DS,06-08-2026,09:05,Present
112,Rahul S,AI&DS,06-08-2026,09:28,Late
113,Sanjay R,AI&DS,06-08-2026,09:01,Present
